,Precision,Recall,F1-Score,PR-AUC,False Alarm Rate,Alert Rate
XGBoost_Ratio_1.0,0.999972442680776,1.0,0.9999862211505339,1.0,1.5695383987569255e-05,0.36288
RandomForest_Ratio_1.0,1.0,1.0,1.0,1.0,0.0,0.36287
XGBoost_Ratio_0.1,0.9999724411618807,0.9999448838426985,0.9999586623124302,0.9999999977216254,1.5695383987569255e-05,0.36286
RandomForest_Ratio_0.1,1.0,0.9999448838426985,0.9999724411618807,1.0,0.0,0.36285
XGBoost_Ratio_0.02,0.9999724411618807,0.9999448838426985,0.9999586623124302,0.9999999984811045,1.5695383987569255e-05,0.36286
RandomForest_Ratio_0.02,1.0,0.9995866288202386,0.9997932716823551,1.0,0.0,0.36272
XGBoost_Ratio_0.01,0.9999724404023701,0.9999173257640477,0.9999448823237612,0.9999861803686008,1.5695383987569255e-05,0.36285
RandomForest_Ratio_0.01,1.0,0.9995866288202386,0.9997932716823551,0.9999999984811045,0.0,0.36272
