Model,Scenario_Setting,Precision_Delta,Recall_Delta,F1-Score_Delta,PR-AUC_Delta,False Alarm Rate_Delta,Alert Rate_Delta
IsolationForest,S4_Sensitivity_n_estimators200_contamination0.05,0.0,0.0,0.0,0.0034636034995763065,0.053348610173747896,0.03399
LOF,S2_NoiseRobustness_Noise_Std0.01,0.9505,0.2619395375754403,0.4106984682524252,0.64715346721563,0.1491846248018458,-0.0
LOF,S2_NoiseRobustness_Noise_Std0.05,0.9576,0.263896161159644,0.4137662842698815,0.6715597280373429,0.15029899706496322,-0.0
LOF,S2_NoiseRobustness_Missing_Rate0.01,0.5982999999999999,0.164879984567476,0.25851751031607156,0.16550904649956577,0.09390548239762692,-0.0
LOF,S2_NoiseRobustness_Missing_Rate0.05,0.8961,0.24694794278942878,0.38719294834402757,0.4329655152249187,0.1406463359126081,-0.0
LOF,S3_ShiftDrift_Window_1,-0.0032333333333334005,-0.0008717722843862002,-0.001373401188605499,-0.0010142325570302035,-0.0003455615905051945,-0.0
LOF,S3_ShiftDrift_Window_2,-0.004833333333333405,-0.0013530274972374991,-0.0021143101001409002,-1.5748734481346727e-05,-0.0009449656425755959,-0.0
LOF,S3_ShiftDrift_Window_3,-0.0051,-0.0013914517663166995,-0.002186426807025601,-0.0013622967013351417,-0.0006761840800632857,-0.0
LOF,S3_ShiftDrift_Window_4,-0.0067000000000000046,-0.0018581992742364994,-0.002909499427485,-0.0014347484497655438,-0.001161975787528191,-0.0
LOF,S4_Sensitivity_n_neighbors10,0.006499999999999999,0.0017912751122991996,0.0028085639596430977,-0.0008326850210341186,0.001020199959192003,-0.0
LOF,S4_Sensitivity_n_neighbors20,0.0,0.0,0.0,0.0,-0.0,-0.0
LOF,S4_Sensitivity_n_neighbors50,-0.0004000000000000045,-0.00011023231460299994,-0.00017283470520880126,0.002464281243193589,-6.27815359502959e-05,-0.0
DBSCAN,S2_NoiseRobustness_Noise_Std0.01,0.0,0.0,0.0,,-0.0,-0.0
DBSCAN,S2_NoiseRobustness_Noise_Std0.05,0.0,0.0,0.0,,-0.0006278153595028,-0.0004000000000000001
DBSCAN,S2_NoiseRobustness_Missing_Rate0.01,0.0,0.0,0.0,,-0.0013027168709682001,-0.0008300000000000001
DBSCAN,S2_NoiseRobustness_Missing_Rate0.05,0.0,0.0,0.0,,-0.0018206645425579999,-0.00116
DBSCAN,S3_ShiftDrift_Window_1,0.0,0.0,0.0,,-0.0016763120263178,-0.0010700000000000002
DBSCAN,S3_ShiftDrift_Window_2,0.0,0.0,0.0,,-0.0008448435233062001,-0.0005366666666666
DBSCAN,S3_ShiftDrift_Window_3,0.0,0.0,0.0,,-0.0010079157875907997,-0.0006433333333333001
DBSCAN,S3_ShiftDrift_Window_4,0.0,0.0,0.0,,-0.0016815077889781,-0.0010700000000000002
DBSCAN,S4_Sensitivity_eps0.1_min_samples5,0.004054054054054,8.26742359522694e-05,0.0001620439139006,,-0.010358953431795699,-0.0066300000000000005
DBSCAN,S4_Sensitivity_eps0.1_min_samples10,0.0024650780608052,8.26742359522694e-05,0.0001599829351535,,-0.0178456515938662,-0.0114
DBSCAN,S4_Sensitivity_eps0.1_min_samples20,0.0015576323987538,8.26742359522694e-05,0.0001570146285295,,-0.0289736788410528,-0.01849
DBSCAN,S4_Sensitivity_eps0.5_min_samples5,0.0,0.0,0.0,,-0.0,-0.0
DBSCAN,S4_Sensitivity_eps0.5_min_samples10,0.0,0.0,0.0,,-0.0007062922794405999,-0.00045
DBSCAN,S4_Sensitivity_eps0.5_min_samples20,0.0,0.0,0.0,,-0.0015381476307817997,-0.00098
DBSCAN,S4_Sensitivity_eps1.0_min_samples5,0.0,0.0,0.0,,0.0010672861111547,0.0006799999999999999
DBSCAN,S4_Sensitivity_eps1.0_min_samples10,0.0,0.0,0.0,,0.0009731138072293001,0.00062
DBSCAN,S4_Sensitivity_eps1.0_min_samples20,0.0,0.0,0.0,,0.0005336430555774001,0.00033999999999999997
