Model,Scenario_Setting,Risks
RandomForest,S1_Imbalance_Ratio_0.01,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: -0.0004); F1-Score: Low Risk (Delta: -0.0002); PR-AUC: Low Risk (Delta: -0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: 0.0002)
RandomForest,S2_NoiseRobustness_Noise_Std0.01,Precision: Low Risk (Delta: 0.0000); Recall: High Risk (Delta: -0.9105); F1-Score: High Risk (Delta: -0.8358); PR-AUC: High Risk (Delta: -0.1186); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: High Risk (Delta: 0.3304)
RandomForest,S2_NoiseRobustness_Noise_Std0.05,Precision: Low Risk (Delta: 0.0000); Recall: High Risk (Delta: -0.9549); F1-Score: High Risk (Delta: -0.9136); PR-AUC: High Risk (Delta: -0.2031); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: High Risk (Delta: 0.3465)
RandomForest,S2_NoiseRobustness_Missing_Rate0.01,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: -0.0058); F1-Score: Low Risk (Delta: -0.0029); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: 0.0021)
RandomForest,S2_NoiseRobustness_Missing_Rate0.05,Precision: Low Risk (Delta: 0.0000); Recall: Medium Risk (Delta: -0.0351); F1-Score: Medium Risk (Delta: -0.0179); PR-AUC: Low Risk (Delta: -0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Medium Risk (Delta: 0.0127)
RandomForest,S3_ShiftDrift_Window_1,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: -0.0001); F1-Score: Low Risk (Delta: -0.0000); PR-AUC: Low Risk (Delta: -0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: 0.0007)
RandomForest,S3_ShiftDrift_Window_2,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: -0.0008)
RandomForest,S3_ShiftDrift_Window_3,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: 0.0005)
RandomForest,S3_ShiftDrift_Window_4,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: -0.0005)
RandomForest,S5_RealtimeInference_Batch5000,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: -0.0000)
RandomForest,S5_RealtimeInference_Batch20000,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: -0.0000)
IsolationForest,S2_NoiseRobustness_Noise_Std0.01,Precision: Low Risk (Delta: 0.3628); Recall: Low Risk (Delta: 0.9992); F1-Score: Low Risk (Delta: 0.5323); PR-AUC: Low Risk (Delta: 0.0332); False Alarm Rate: Low Risk (Delta: -0.8705); Alert Rate: Low Risk (Delta: -0.9172)
IsolationForest,S2_NoiseRobustness_Noise_Std0.05,Precision: Low Risk (Delta: 0.3629); Recall: Low Risk (Delta: 1.0000); F1-Score: Low Risk (Delta: 0.5325); PR-AUC: Low Risk (Delta: 0.0478); False Alarm Rate: Low Risk (Delta: -0.8708); Alert Rate: Low Risk (Delta: -0.9177)
IsolationForest,S2_NoiseRobustness_Missing_Rate0.01,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0012); False Alarm Rate: Low Risk (Delta: 0.0007); Alert Rate: Low Risk (Delta: 0.0005)
IsolationForest,S2_NoiseRobustness_Missing_Rate0.05,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0051); False Alarm Rate: Low Risk (Delta: 0.0031); Alert Rate: Low Risk (Delta: 0.0020)
IsolationForest,S3_ShiftDrift_Window_1,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0069); False Alarm Rate: Low Risk (Delta: -0.0156); Alert Rate: Low Risk (Delta: -0.0101)
IsolationForest,S3_ShiftDrift_Window_2,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0082); False Alarm Rate: Low Risk (Delta: -0.0159); Alert Rate: Low Risk (Delta: -0.0100)
IsolationForest,S3_ShiftDrift_Window_3,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0070); False Alarm Rate: Low Risk (Delta: -0.0163); Alert Rate: Low Risk (Delta: -0.0105)
IsolationForest,S3_ShiftDrift_Window_4,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0077); False Alarm Rate: Low Risk (Delta: -0.0132); Alert Rate: Low Risk (Delta: -0.0084)
IsolationForest,S4_Sensitivity_n_estimators50_contaminationauto,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0145); False Alarm Rate: Low Risk (Delta: -0.0069); Alert Rate: Low Risk (Delta: -0.0044)
IsolationForest,S4_Sensitivity_n_estimators50_contamination0.01,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0145); False Alarm Rate: High Risk (Delta: 0.1140); Alert Rate: Medium Risk (Delta: 0.0726)
IsolationForest,S4_Sensitivity_n_estimators50_contamination0.05,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0145); False Alarm Rate: Medium Risk (Delta: 0.0535); Alert Rate: Medium Risk (Delta: 0.0341)
IsolationForest,S4_Sensitivity_n_estimators100_contaminationauto,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: -0.0000)
IsolationForest,S4_Sensitivity_n_estimators100_contamination0.01,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: High Risk (Delta: 0.1135); Alert Rate: Medium Risk (Delta: 0.0723)
IsolationForest,S4_Sensitivity_n_estimators100_contamination0.05,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Medium Risk (Delta: 0.0536); Alert Rate: Medium Risk (Delta: 0.0342)
IsolationForest,S4_Sensitivity_n_estimators200_contaminationauto,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0035); False Alarm Rate: Low Risk (Delta: -0.0037); Alert Rate: Low Risk (Delta: -0.0024)
IsolationForest,S4_Sensitivity_n_estimators200_contamination0.01,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0035); False Alarm Rate: High Risk (Delta: 0.1137); Alert Rate: Medium Risk (Delta: 0.0725)
IsolationForest,S4_Sensitivity_n_estimators200_contamination0.05,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0035); False Alarm Rate: Medium Risk (Delta: 0.0533); Alert Rate: Medium Risk (Delta: 0.0340)
LOF,S2_NoiseRobustness_Noise_Std0.01,Precision: Low Risk (Delta: 0.9505); Recall: Low Risk (Delta: 0.2619); F1-Score: Low Risk (Delta: 0.4107); PR-AUC: Low Risk (Delta: 0.6472); False Alarm Rate: High Risk (Delta: 0.1492); Alert Rate: Low Risk (Delta: -0.0000)
LOF,S2_NoiseRobustness_Noise_Std0.05,Precision: Low Risk (Delta: 0.9576); Recall: Low Risk (Delta: 0.2639); F1-Score: Low Risk (Delta: 0.4138); PR-AUC: Low Risk (Delta: 0.6716); False Alarm Rate: High Risk (Delta: 0.1503); Alert Rate: Low Risk (Delta: -0.0000)
LOF,S2_NoiseRobustness_Missing_Rate0.01,Precision: Low Risk (Delta: 0.5983); Recall: Low Risk (Delta: 0.1649); F1-Score: Low Risk (Delta: 0.2585); PR-AUC: Low Risk (Delta: 0.1655); False Alarm Rate: Medium Risk (Delta: 0.0939); Alert Rate: Low Risk (Delta: -0.0000)
LOF,S2_NoiseRobustness_Missing_Rate0.05,Precision: Low Risk (Delta: 0.8961); Recall: Low Risk (Delta: 0.2469); F1-Score: Low Risk (Delta: 0.3872); PR-AUC: Low Risk (Delta: 0.4330); False Alarm Rate: High Risk (Delta: 0.1406); Alert Rate: Low Risk (Delta: -0.0000)
LOF,S3_ShiftDrift_Window_1,Precision: Low Risk (Delta: -0.0032); Recall: Low Risk (Delta: -0.0009); F1-Score: Low Risk (Delta: -0.0014); PR-AUC: Low Risk (Delta: -0.0010); False Alarm Rate: Low Risk (Delta: -0.0003); Alert Rate: Low Risk (Delta: -0.0000)
LOF,S3_ShiftDrift_Window_2,Precision: Low Risk (Delta: -0.0048); Recall: Low Risk (Delta: -0.0014); F1-Score: Low Risk (Delta: -0.0021); PR-AUC: Low Risk (Delta: -0.0000); False Alarm Rate: Low Risk (Delta: -0.0009); Alert Rate: Low Risk (Delta: -0.0000)
LOF,S3_ShiftDrift_Window_3,Precision: Low Risk (Delta: -0.0051); Recall: Low Risk (Delta: -0.0014); F1-Score: Low Risk (Delta: -0.0022); PR-AUC: Low Risk (Delta: -0.0014); False Alarm Rate: Low Risk (Delta: -0.0007); Alert Rate: Low Risk (Delta: -0.0000)
LOF,S3_ShiftDrift_Window_4,Precision: Low Risk (Delta: -0.0067); Recall: Low Risk (Delta: -0.0019); F1-Score: Low Risk (Delta: -0.0029); PR-AUC: Low Risk (Delta: -0.0014); False Alarm Rate: Low Risk (Delta: -0.0012); Alert Rate: Low Risk (Delta: -0.0000)
LOF,S4_Sensitivity_n_neighbors10,Precision: Low Risk (Delta: 0.0065); Recall: Low Risk (Delta: 0.0018); F1-Score: Low Risk (Delta: 0.0028); PR-AUC: Low Risk (Delta: -0.0008); False Alarm Rate: Low Risk (Delta: 0.0010); Alert Rate: Low Risk (Delta: -0.0000)
LOF,S4_Sensitivity_n_neighbors20,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: Low Risk (Delta: 0.0000); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: -0.0000)
LOF,S4_Sensitivity_n_neighbors50,Precision: Low Risk (Delta: -0.0004); Recall: Low Risk (Delta: -0.0001); F1-Score: Low Risk (Delta: -0.0002); PR-AUC: Low Risk (Delta: 0.0025); False Alarm Rate: Low Risk (Delta: -0.0001); Alert Rate: Low Risk (Delta: -0.0000)
DBSCAN,S2_NoiseRobustness_Noise_Std0.01,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: -0.0000)
