,Precision,Recall,F1-Score,PR-AUC,False Alarm Rate,Alert Rate,Mean_Latency,P95_Latency,Throughput
XGBoost_Batch5000,0.999972442680776,1.0,0.9999862211505339,1.0,1.5695383987569255e-05,0.36288,0.049229133129119876,0.06439352631568909,50782.93768535216
RandomForest_Batch5000,1.0,1.0,1.0,1.0,0.0,0.36287,0.049229133129119876,0.06439352631568909,50782.93768535216
XGBoost_Batch20000,0.999972442680776,1.0,0.9999862211505339,1.0,1.5695383987569255e-05,0.36288,0.057799148559570315,0.05937302112579346,173012.92924226326
RandomForest_Batch20000,1.0,1.0,1.0,1.0,0.0,0.36287,0.057799148559570315,0.05937302112579346,173012.92924226326
