model,dataset,threshold,Precision,Recall,F1,PR_AUC,ROC_AUC,Brier,ECE,FAR,Alert_Rate,TN,FP,FN,TP,sigma,relative_F1_change_pct
XGBoost,S2_sigma_0.0,0.95,1.0,0.8341232227488151,0.9095607235142119,0.8481655456972036,0.8588211443501358,0.013989264713524786,0.013800008914937899,0.0,0.07034372501998401,4582,0,70,352,0.0,0.0
RandomForest,S2_sigma_0.0,0.95,1.0,0.8341232227488151,0.9095607235142119,0.8481120317016528,0.9170616113744076,0.013982900849300445,0.013791093879468948,0.0,0.07034372501998401,4582,0,70,352,0.0,0.0
XGBoost,S2_sigma_0.01,0.95,0.5156576200417536,0.5853080568720379,0.5482796892341842,0.38456588657976876,0.8230651157113865,0.08776322726503716,0.09533608473987201,0.05063291139240506,0.0957234212629896,4350,232,175,247,0.01,-39.720386439309856
RandomForest,S2_sigma_0.01,0.95,0.5876106194690266,0.7867298578199052,0.6727456940222898,0.4867572629571307,0.8651220725650132,0.07919634232947691,0.09258979986416552,0.05085115670013095,0.11290967226219024,4349,233,90,332,0.01,-26.036197844708482
XGBoost,S2_sigma_0.05,0.95,0.524671052631579,0.7559241706161137,0.6194174757281553,0.41943584789420835,0.8220320706825182,0.1161709596570165,0.15738935806876844,0.06307289393278044,0.12150279776179057,4293,289,103,319,0.05,-31.899271844660202
RandomForest,S2_sigma_0.05,0.95,0.5459183673469388,0.7606635071090048,0.6356435643564357,0.46022996212138395,0.8496468253065261,0.11035745161105341,0.15669016727860324,0.058271497162811,0.11750599520383694,4315,267,101,321,0.05,-30.11532403240324
XGBoost,S2_sigma_0.1,0.95,0.5174506828528073,0.8080568720379147,0.6308973172987974,0.4175759051551555,0.8384560644268423,0.12527387642474333,0.17243001433207025,0.06940200785683108,0.13169464428457234,4264,318,81,341,0.1,-30.63714153561518
RandomForest,S2_sigma_0.1,0.95,0.5323383084577115,0.7606635071090048,0.6263414634146341,0.45175365629077646,0.8517398081509967,0.12136760925341504,0.17768225586133884,0.06154517677869926,0.12050359712230216,4300,282,101,321,0.1,-31.138026607538805
