method,Brier,ECE,PR_AUC,model
isotonic,0.0014010353885005908,0.0011490819102256084,0.9805661068905771,XGBoost
raw,0.0014013987123103625,0.0008917649871798288,0.9806096833765134,XGBoost
platt,0.001462042140864917,0.002766857020684203,0.9806096833765134,XGBoost
isotonic,0.0014450109036101735,0.0012978935677246258,0.9805661068905771,RandomForest
platt,0.002268896152803778,0.006234843525018384,0.9806007045564468,RandomForest
raw,0.009863495851659337,0.0812170131947221,0.9806007045564468,RandomForest
