setting,model,n_base_features,n_transformed_features,removed_features,SMOTE_used,train_rows_before_SMOTE,train_rows_after_SMOTE,calibrator,threshold,Validation_F1,Test_Precision,Test_Recall,Test_F1,Test_PR_AUC,Test_ROC_AUC,Test_Brier,Test_ECE,Test_FAR,TN,FP,FN,TP,Full_F1,Full_PR_AUC,Relative_F1_change_pct,PR_AUC_change
Full-11,XGBoost,11,22,,True,18342,30570,isotonic,0.95,0.9894736842105263,1.0,0.8341232227488151,0.9095607235142119,0.8481655456972036,0.8588211443501358,0.013989264713524786,0.013800008914937899,0.0,4582,0,70,352,0.9095607235142119,0.8481655456972036,0.0,0.0
Full-11,RandomForest,11,22,,True,18342,30570,isotonic,0.95,0.9894736842105263,1.0,0.8341232227488151,0.9095607235142119,0.8481120317016528,0.9170616113744076,0.013982900849300445,0.013791093879468948,0.0,4582,0,70,352,0.9095607235142119,0.8481120317016528,0.0,0.0
Direct-proxy-reduced,XGBoost,8,19,ip_events_per_hour|is_error|is_off_hours,True,18342,30570,isotonic,0.27,0.4967490247074122,0.17117117117117117,0.31516587677725116,0.22185154295246037,0.1159773991721647,0.6083926698538067,0.09136230220410346,0.08458822797912442,0.14054997817546921,3938,644,289,133,0.9095607235142119,0.8481655456972036,-75.60893547653349,-0.7321881465250389
Direct-proxy-reduced,RandomForest,8,19,ip_events_per_hour|is_error|is_off_hours,True,18342,30570,isotonic,0.26,0.24793388429752067,0.05384615384615385,0.06635071090047394,0.059447983014861996,0.08128310075410068,0.45500888496300174,0.08525247492545826,0.0649423270858024,0.10737669140113487,4090,492,394,28,0.9095607235142119,0.8481120317016528,-93.46409959467285,-0.7668289309475521
Conservative-proxy-reduced,XGBoost,7,18,hour|ip_events_per_hour|is_error|is_off_hours,True,18342,30570,isotonic,0.3,0.4675876726886291,0.19499478623566216,0.4431279620853081,0.27081824764663287,0.1299253109053488,0.6354217306128866,0.08329226649261409,0.07934939934442305,0.16848537756438237,3810,772,235,187,0.9095607235142119,0.8481655456972036,-70.22538015930485,-0.7182402347918548
Conservative-proxy-reduced,RandomForest,7,18,hour|ip_events_per_hour|is_error|is_off_hours,True,18342,30570,isotonic,0.35,0.3875598086124402,0.1870286576168929,0.2938388625592417,0.22857142857142856,0.11698304242298159,0.5680992592071593,0.08112331066003914,0.057845929874209834,0.11763422086425142,4043,539,298,124,0.9095607235142119,0.8481120317016528,-74.87012987012987,-0.7311289892786712
